Czas	Masa[g]
2026-01-13 08:41:05.863947	0.000
2026-01-13 08:41:05.987276	0.000
2026-01-13 08:41:06.059436	0.000
2026-01-13 08:41:06.121682	0.000
2026-01-13 08:41:06.245191	0.000
2026-01-13 08:41:06.307721	0.000
2026-01-13 08:41:06.430671	0.000
2026-01-13 08:41:06.492938	0.000
2026-01-13 08:41:06.616451	0.000
2026-01-13 08:41:06.678480	0.000
2026-01-13 08:41:06.802100	0.000
2026-01-13 08:41:06.884415	0.000
2026-01-13 08:41:06.925809	0.000
2026-01-13 08:41:07.049233	0.000
2026-01-13 08:41:07.111681	0.000
2026-01-13 08:41:07.245768	0.000
2026-01-13 08:41:07.307066	0.000
2026-01-13 08:41:07.463003	0.000
